2026-09-01 20:47:52,620 [WARNING] Missing file pair for lead f0720h. Skipping.
VAR   | LEAD   | RMSE     | BIAS     | ACC     | FCST MIN/MAX           | TRUTH MIN/MAX
V     | f072h  | 31.6740  | -6.2929  | 0.0428  | -90.78 / 120.00        | -38.27 / 50.10
V     | f078h  | 33.6895  | -6.2308  | 0.0424  | -99.80 / 120.00        | -35.60 / 37.43
V     | f084h  | 35.6198  | -6.0746  | 0.0403  | -107.16 / 120.00       | -39.44 / 38.38
V     | f090h  | 37.5014  | -5.8307  | 0.0322  | -112.90 / 120.00       | -32.59 / 37.53
V     | f096h  | 39.2844  | -5.5661  | 0.0266  | -117.13 / 120.00       | -38.73 / 35.63
V     | f102h  | 41.0557  | -5.2363  | 0.0157  | -120.00 / 120.00       | -45.08 / 37.24
V     | f108h  | 42.7805  | -4.9920  | 0.0078  | -120.00 / 120.00       | -37.97 / 36.21
V     | f114h  | 44.3894  | -4.7147  | 0.0117  | -120.00 / 120.00       | -36.47 / 38.90
V     | f120h  | 45.8823  | -4.3759  | 0.0181  | -120.00 / 120.00       | -36.50 / 38.40
---------------------------------------------------------------------------------------------------------
W     | f006h  | 0.4943   | 0.0536   | 0.1257  | -4.66 / 4.04           | -4.47 / 5.34
W     | f012h  | 0.7194   | 0.3007   | 0.0382  | -4.36 / 3.99           | -4.35 / 5.22
W     | f018h  | 0.8621   | 0.5260   | 0.0185  | -4.28 / 3.97           | -4.79 / 4.23
W     | f024h  | 0.9817   | 0.6247   | 0.0442  | -4.50 / 4.20           | -4.90 / 4.85
W     | f030h  | 1.1370   | 0.7263   | 0.0028  | -4.83 / 5.46           | -5.96 / 4.98
W     | f036h  | 1.3077   | 0.8107   | -0.0036 | -4.87 / 6.15           | -4.83 / 5.12
W     | f042h  | 1.4707   | 0.9007   | -0.0041 | -5.12 / 6.83           | -5.70 / 4.87
W     | f048h  | 1.6454   | 0.9922   | 0.0168  | -5.40 / 7.40           | -6.68 / 5.60
W     | f054h  | 1.8221   | 1.0654   | -0.0006 | -5.47 / 8.24           | -5.90 / 6.37
W     | f060h  | 1.9897   | 1.1237   | -0.0041 | -5.07 / 9.62           | -6.15 / 8.15
W     | f066h  | 2.1509   | 1.1799   | -0.0097 | -5.73 / 10.00          | -5.69 / 5.06
W     | f072h  | 2.3039   | 1.2375   | 0.0160  | -6.37 / 10.00          | -6.42 / 4.54
W     | f078h  | 2.4589   | 1.2754   | 0.0021  | -7.19 / 10.00          | -5.88 / 5.56
W     | f084h  | 2.6072   | 1.3111   | -0.0047 | -8.38 / 10.00          | -5.24 / 6.51
W     | f090h  | 2.7408   | 1.3419   | -0.0078 | -9.59 / 10.00          | -6.72 / 6.66
W     | f096h  | 2.8698   | 1.3850   | 0.0129  | -10.00 / 10.00         | -6.04 / 5.81
W     | f102h  | 2.9927   | 1.4094   | 0.0171  | -10.00 / 10.00         | -5.55 / 6.39
W     | f108h  | 3.1126   | 1.4336   | 0.0073  | -10.00 / 10.00         | -5.93 / 4.79
W     | f114h  | 3.2186   | 1.4511   | 0.0029  | -10.00 / 10.00         | -4.74 / 5.56
W     | f120h  | 3.3185   | 1.4784   | 0.0176  | -10.00 / 10.00         | -4.22 / 5.65
---------------------------------------------------------------------------------------------------------
Q     | f006h  | 2.9237   | -0.5903  | 0.8778  | 0.00 / 27.47           | 0.00 / 28.35
Q     | f012h  | 3.8023   | 0.3573   | 0.7951  | 0.00 / 32.79           | 0.00 / 30.63
Q     | f018h  | 4.5491   | 0.9336   | 0.7290  | 0.00 / 35.00           | 0.00 / 29.16
Q     | f024h  | 5.5083   | 1.2997   | 0.6463  | 0.00 / 35.00           | 0.00 / 29.55
Q     | f030h  | 6.5873   | 1.5300   | 0.5612  | 0.00 / 35.00           | 0.00 / 30.46
Q     | f036h  | 7.6731   | 1.6626   | 0.4780  | 0.00 / 35.00           | 0.00 / 29.92
Q     | f042h  | 8.6631   | 1.6651   | 0.4039  | 0.00 / 35.00           | 0.00 / 28.34
Q     | f048h  | 9.5858   | 1.6135   | 0.3352  | 0.00 / 35.00           | 0.00 / 27.91
Q     | f054h  | 10.4237  | 1.6134   | 0.2755  | 0.00 / 35.00           | 0.00 / 29.82
Q     | f060h  | 11.1517  | 1.6576   | 0.2279  | 0.00 / 35.00           | 0.00 / 28.78
Q     | f066h  | 11.8027  | 1.6759   | 0.1845  | 0.00 / 35.00           | 0.00 / 27.66
Q     | f072h  | 12.3497  | 1.7647   | 0.1496  | 0.00 / 35.00           | 0.00 / 27.25
